subject,message,label
Job Posting,Apple ISS Research Center is looking for AI Security interns,0
Urgent Requirement,Please review the updated network lab manual for Monday,0
FREE PRIZE,CONGRATS! You won a cash prize! Click here now to claim!,1
,Hey are we still meeting up for dinner tonight after class?,0
LIMITED TIME,Get a cheap mortgage offer today. Click link now!,1
Packet Tracer,Can you send over the final topology file for the routing lab?,0
Query,What is the submission date for lab assignment five?,0
URGENT WINNER,WINNER! Your phone number won a free cruise gift card!,1
Exam Schedule,The final exams for DHA Suffa University have been posted online,0
Meeting Request,Let us sync tomorrow morning at 9 AM to review the project roadmap,0
Urgent Security,Your bank account has been locked. Verify your pin code here immediately,1
Hi Friend,Long time no see! Are you free to grab coffee this weekend?,0
Project Update,The code for Phase 3 payload matrix testing is now pushed to GitHub,0
RENEW NOW,Your Netflix subscription expired. Renew now for 90% discount,1
Lab Report,Please submit your final security audit project report by Friday,0
Registration,Course registration for the next semester opens tomorrow at noon,0
LOAN OFFER,Get approved for an instant personal loan with no credit check,1
Hey,Did you catch the latest football match last night? What a game,0
Internship,Applications for the cybersecurity summer internship are now open,0
Invoice Due,Please find attached the invoice for your cloud hosting services,0
CASH BONUS,Earn $500 a day from home doing simple surveys! Sign up now!,1
,,0
Discussion,We need to discuss the system prompt hardening architecture tomorrow,0
,,0
Important,Your password will expire in 24 hours. Click here to reset it,1
Homework,Can you help me with the math problem from chapter four?,0
Seminar,Join us for a guest lecture on Defensive AI measures this Thursday,0
CONGRATS,You have been selected for a free entry into our luxury car raffle!,1
Lunch,Let us order pizza for the study group session this afternoon,0
Schedule,The lab instructor shifted the viva presentation to next Tuesday,0
INVEST NOW,Turn $100 into $10000 in just one week with this crypto secret!,1
Note,Don't forget to bring your student ID card to the exam hall,0
Draft Review,I updated the slides for the spam classifier presentation,0
MASSIVE DEAL,Buy one get three free on all items! Only for the next hour!,1
Hi,Just checking in to see how your exam preparation is going,0
Office Hours,Professor will be available for queries between 2 PM and 4 PM,0
GUARANTEED,Lose 20 pounds in 3 days with this magical diet pill. Order now!,1
Reminder,Your library books are due back by the end of this week,0
Syllabus,The mid term syllabus has been updated on the student portal,0
CLAIM REWARD,Your loyalty points are expiring. Redeem your free iPad today!,1
Gym Partner,Are you going to the university gym today around 5 PM?,0
Coding Error,The model is throwing an index error during feature extraction,0
URGENT,Your Amazon account shows suspicious activity. Confirm your identity,1
Group Project,I divided the tasks among the team members on Trello,0
Wi-Fi Access,The IT department updated the security protocols for campus Wi-Fi,0
FAST CASH,Need money fast? Get paid today with no background checks,1
Hello,Please send me the link to the TryHackMe room we discussed,0
Minutes,Here are the meeting notes from today's red team core planning,0
ACT NOW,Double your money guaranteed. Secure investments starting today,1
Coffee,Let us meet at the campus cafeteria before the next lab starts,0
CRITICAL ALERT,Your crypto wallet was accessed from a new IP address. Authorize link now,1
RE: Interview,Thank you for applying to the SOC analyst internship position,0
BITCOIN FREE,You received 0.5 BTC into your account. Click to claim tokens,1
Password Reset,A password reset request for your student portal was initiated,0
ACCOUNT EXPIRED,Your corporate email access will expire tonight. Verify credentials here,1
Lab Assignment,Please submit the Packet Tracer DHCP configuration labs by tonight,0
WINNER CHOSEN,You won a $1000 Walmart gift card! Complete this survey to claim,1
Meeting Link,Here is the Zoom invitation for our project defense sync session,0
SUSPICIOUS LOGIN,We detected a login attempt from Russia on your account. Reset here,1
HR Update,The company holiday calendar for the remaining year has been posted,0
PAYPAL ALERT,Your payment of $499 to eBay is pending. Click here to cancel transaction,1
Network Outage,The main university campus switch will undergo maintenance at midnight,0
EXPIRED CARD,Your credit card has been suspended due to missing info. Verify now,1
Grade Posted,The quiz marks for your AI Security class have been uploaded,0
GIFT CARD,Get a free $50 Starbucks gift card instantly! Fill details now,1
Office Key,Did you leave your locker keys in the digital forensics lab?,0
URGENT UPDATE,Your office account is locked. Confirm your identity to unlock,1
Schedule Sync,Can we move our red teaming study session to 4 PM tomorrow?,0
CHEAP PILLS,Order cheap generic medicine from home with no prescription needed,1
GitHub Access,You have been invited to collaborate on the NexaBank audit repo,0
BANK WARNING,Unusual transaction on your debit card. Click link to freeze funds,1
Research paper,Please review the attached PDF draft regarding prompt injection vectors,0
FREE MONEY,Get an instant cash payout straight to your profile. Join now,1
Lunch Plan,Are we ordering biryani or burgers for the group study today?,0
ATTENTION REQUIRED,Verify your employment details on this portal or risk suspension,1
IT Helpdesk,Your ticket regarding terminal execution path variables has been closed,0
LOTTERY WIN,Your email address selected for second place prize! Redeem voucher,1
Quiz Prep,Don't forget to practice the Naive Bayes probability math rules,0
INBOX CLEANUP,Your email storage is full. Clean it now or lose your messages,1
Presentation,The slide deck for our automated email triage system is finalized,0
REVOLUT ALERT,Your account has been restricted. Upload passport copy here to verify,1
Lab Viva,The external examiner will start taking vivas from 9:30 AM sharp,0
CASINO BONUS,Claim your 500 free spins on our slot machines today only!,1
SOC Report,The automated log analysis script detected zero anomalies today,0
TAX REFUND,The government owes you a $1200 tax refund. Click here to deposit,1
Project Demo,Let's do a test run of the maildetector script before the lab presentation,0
CLICK HERE,Increase your website traffic by 1000% using this simple secret,1
Wireshark Log,Can you help me analyze this PCAP file for suspicious beaconing?,0
MALWARE REMOVAL,Your PC is infected with 13 viruses! Download scanner now to clean,1
Course Feedback,Please fill out the anonymous course evaluation form on the portal,0
DEAR WINNER,You are the lucky visitor today! Claim your free iPhone 15 now,1
System Check,The secure mail gateway dashboard is showing healthy performance logs,0
BANK DEPOSIT,You received a direct deposit of $5000. Confirm bank details here,1
Resume Review,I adjusted the wording on your SOC analyst internship resume profile,0
HOT DEALS,Save 80% on all tech accessories! Sale ends in ten minutes,1
Packet Analysis,The traceroute shows high latency at the university edge router,0
INHERITANCE,A wealthy relative left you a large fortune. Contact agent now,1
Deployment,The machine learning model is ready to process live email headers,0
